# nw_status scan 2026-09-22
Row,Type,Library,GitHub,version=,Last tag,version = tag,library.properties,paragraph=,url= ok,category=,depends=,LICENSE,README DOI badge,CITATION.cff,.zenodo.json,keywords.txt,doxygen_NW.cfg,src/,_Demo example,Examples,docs.yml,begin() -> bool,getHeader/getString,Raw-readings triad,camelCase conversion,PascalCase removed,Header trailing space,Header separator,Arduino registry,Schema 1: library,Open issues,Uncommitted files,Unpushed commits,HW: Repo,HW: GitHub,HW: Last tag,HW: Commits past tag,HW: Eagle .brd,HW: KiCad .kicad_pcb,HW: KiCad verified vs Eagle,HW: Spec appendix,HW: Schema 1: firmware,HW: Page 0 provisioned + tested,HW: Open issues,HW: Bug-labelled issues,HW: Uncommitted files,HW: Unpushed commits,Next action,Notes
DS3231_Logger,Component,DS3231_Logger,NorthernWidget/DS3231_Logger,0.1.0,none,no tag,OK,blank,OK,Sensors,,MISSING,no badge,MISSING,MISSING,OK,OK,OK,MISSING,none,MISSING,int,N/A,N/A,OK,OK,—,—,no,,1,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,LICENSE; CITATION.cff; .zenodo.json; docs.yml; example; paragraph=; bool begin(),
MaxBotix_Library,Sensor,MaxBotix_Library,NorthernWidget/Maxbotix_Library,1.1.0,v1.0.0,NO (v1.0.0 vs 1.1.0),OK,OK,OK,Sensors,,OK,latestdoi (deprecated),OK,MISSING,MISSING,OK,OK,MISSING,none,MISSING,OK,OK,MISSING,"unmarked aliases: GetHeader, GetRange, GetString",NO (3 PascalCase live),yes,comma-space,no,,3,3,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Decide SoftwareSerial vs Serial1 (#4); then keywords.txt; .zenodo.json; docs.yml; example; drop trailing space,uncommitted Serial1 hack in src/ (deferred refactor; issue #4)
T9602_Library,Sensor,T9602_Library,NorthernWidget-Skunkworks/T9602_Library,0.0.0,v1.0.0,NO (v1.0.0 vs 0.0.0),OK,blank,WRONG (NorthernWidget-Skunkworks/Haar_Library),Sensors,,OK,concept DOI,OK,MISSING,MISSING,OK,OK,MISSING,none,MISSING,void,OK,MISSING,OK,OK,OK,comma,no,,1,1,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Fix stale status bits (correctness; pulled forward 2026-09-22); then version= and url=; keywords.txt; .zenodo.json; docs.yml; example; bool begin(),tag v1.0.0 (2022) exists while library.properties says 0.0.0
Tally,Sensor,Tally_Library,NorthernWidget-Skunkworks/Tally_Library,0.1.0,none,no tag,OK,OK,WRONG (NorthernWidget_Skunkworks/Tally_Library),MISSING,,OK,no badge,MISSING,MISSING,OK,MISSING,OK,MISSING,Tally_I2C_Read,MISSING,uint8_t,OK,MISSING,"PascalCase only: Clear, ClearTicks, GetHeader, GetString …",NO (10 PascalCase live),yes,comma-space,no,,1,0,0,Project-Tally,NorthernWidget-Skunkworks/Project-Tally,v0.1,39,3,0,N/A (no KiCad import yet),no,MISSING (fw 0.2.0 2019: 5-byte map; command bits at 0x00; address 0x33 hard-coded),no,4,1,1,0,Add spec appendix (latch trigger; monotonic uint32 event count; address 'T' 0x54); confirm MCU; NW-Provision + NW-Registry entries; snapshot issue row · camelCase rename with aliases; category=; url=; CITATION.cff; .zenodo.json; doxygen_NW.cfg; docs.yml,Absent from spec / provisioning / registry / snapshot issue until 2026-09-20; library I2C support only on Dev_I2C branch (7 commits unmerged)
TP-Downhole_Library,Sensor,TP-Downhole_Library,NorthernWidget/TP-Downhole_Library,0.1.0,none,no tag,OK,blank,WRONG (NorthernWidget/TP-DownHole),Sensors,,OK,no badge,MISSING,MISSING,OK,MISSING,OK,TP_Downhole_Demo,TP_Downhole_Demo,MISSING,uint8_t,OK,MISSING,"PascalCase only: GetBaud, GetByte, GetData, GetHeader …",NO (10 PascalCase live),yes,comma-space,no,,5,1,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Legacy: keep buildable; no standardization planned,legacy; lineage tracked under Walrus
MS5803,Component,MS5803,NorthernWidget/MS5803,0.1.2,none,no tag,OK,blank,OK,Sensors,,OK,MISSING README,MISSING,MISSING,MISSING,MISSING,OK,MS5803_Demo,MS5803_Demo,MISSING,uint8_t,N/A,N/A,OK,OK,—,—,no,,6,1,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,README; CITATION.cff; .zenodo.json; keywords.txt; doxygen_NW.cfg; docs.yml; paragraph=,
VEML6030,Component,VEML6030,NorthernWidget/VEML6030,,none,,MISSING,,,,,OK,no badge,MISSING,MISSING,MISSING,MISSING,flat layout,MISSING,none,MISSING,uint8_t,N/A,N/A,"PascalCase only: AutoRange, Gain2Bits, GetALS, GetGain …",NO (20 PascalCase live),—,—,no,,1,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Bare: library.properties and full checklist if kept,
VEML6075,Component,VEML6075,NorthernWidget/VEML6075,,none,,MISSING,,,,,OK,no badge,MISSING,MISSING,MISSING,MISSING,flat layout,VEML6075_Demo,VEML6075_Demo,MISSING,uint8_t,N/A,N/A,"PascalCase only: GetUVA, GetUVB, Mode, PowerOn …",NO (7 PascalCase live),—,—,no,,0,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Bare: library.properties and full checklist if kept,
TCA9534,Component,TCA9534,NorthernWidget/TCA9534,,none,,MISSING,,,,,OK,MISSING README,MISSING,MISSING,MISSING,MISSING,flat layout,MISSING,none,MISSING,no begin(),N/A,N/A,"PascalCase only: Begin, DigitalWrite, PinMode",NO (3 PascalCase live),—,—,no,,1,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Bare: library.properties and full checklist if kept,
MCP23018,Component,MCP23018,NorthernWidget-Skunkworks/MCP23018,,none,,MISSING,,,,,OK,no badge,MISSING,MISSING,MISSING,MISSING,flat layout,MISSING,none,MISSING,int,N/A,N/A,"PascalCase only: DigitalWrite, PinMode, SetInterrupt",NO (3 PascalCase live),—,—,no,,0,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Bare: library.properties and full checklist if kept,
MCP4725,Component,MCP4725,NorthernWidget-Skunkworks/MCP4725,,none,,MISSING,,,,,OK,no badge,MISSING,MISSING,MISSING,MISSING,flat layout,MISSING,none,MISSING,void,N/A,N/A,"PascalCase only: SetGain, SetRef, Sleep",NO (3 PascalCase live),—,—,no,,0,0,0,—,—,—,—,—,—,—,—,—,—,—,—,—,—,Bare: library.properties and full checklist if kept,
